Stkcd,Indnme,Nindnme,Nnindnme,enNindnme
542,工业,通信及相关设备制造业,计算机、通信和其他电子设备制造业,Communications and related equipment manufacturing
543,工业,电力、蒸汽、热水的生产和供应业,电力、热力生产和供应业,"The production and supply of electricity, steam and hot water"
544,公用事业,自来水的生产和供应业,水的生产和供应业,The production and supply of tap water
545,工业,化学原料及化学制品制造业,化学原料及化学制品制造业,Manufacture of raw chemical materials and chemical products
546,公用事业,其他社会服务业,生态保护和环境治理业,Other social services
547,工业,信息技术业,计算机、通信和其他电子设备制造业,Information technology industry
548,公用事业,公路运输业,道路运输业,Highway transport industry
549,工业,交通运输设备制造业,汽车制造业,Transportation equipment manufacturing industry
550,工业,交通运输设备制造业,汽车制造业,Transportation equipment manufacturing industry
551,综合,综合类,综合,Comprehensive
552,工业,煤炭采选业,煤炭开采和洗选业,Mining and washing of coal industry
553,工业,化学原料及化学制品制造业,化学原料及化学制品制造业,Manufacture of raw chemical materials and chemical products
554,商业,批发和零售贸易,批发业,Wholesale and retail trade
555,公用事业,计算机应用服务业,软件和信息技术服务业,Computer application services
556,公用事业,水上运输业,水上运输业,Water transport
557,公用事业,铁路运输业,铁路运输业,Railway transportation
558,房地产,房地产业,房地产业,Real estate
559,工业,交通运输设备制造业,汽车制造业,Transportation equipment manufacturing industry
560,房地产,房地产业,房地产业,Real estate
561,工业,信息技术业,计算机、通信和其他电子设备制造业,Information technology industry
562,金融,证券、期货业,资本市场服务,Securities and futures industry
563,金融,其他金融业,其他金融业,Other financial industry
564,商业,零售业,零售业,Retail industry
565,工业,化学原料及化学制品制造业,化学原料及化学制品制造业,Manufacture of raw chemical materials and chemical products
566,工业,医药制造业,医药制造业,Pharmaceutical industry
567,金融,其他金融业,其他金融业,Other financial industry
568,工业,饮料制造业,酒、饮料和精制茶制造业,Beverage manufacturing industry
569,工业,黑色金属冶炼及压延加工业,黑色金属冶炼及压延加工业,Smelting and pressing of ferrous metals
570,工业,普通机械制造业,通用设备制造业,General machinery manufacturing
571,综合,综合类,综合,Comprehensive
572,工业,交通运输设备制造业,汽车制造业,Transportation equipment manufacturing industry
573,房地产,房地产业,房地产业,Real estate
576,工业,专用设备制造业,专用设备制造业,Special equipment manufacturing
578,工业,化学原料及化学制品制造业,化学原料及化学制品制造业,Manufacture of raw chemical materials and chemical products
581,工业,交通运输设备制造业,汽车制造业,Transportation equipment manufacturing industry
582,公用事业,水上运输业,水上运输业,Water transport
583,公用事业,计算机应用服务业,软件和信息技术服务业,Computer application services
584,工业,专用设备制造业,专用设备制造业,Special equipment manufacturing
585,工业,电器机械及器材制造业,电气机械及器材制造业,Electrical machinery and equipment manufacturing
586,工业,信息技术业,计算机、通信和其他电子设备制造业,Information technology industry
587,工业,其他制造业,其他制造业,Other manufacturing industries
588,综合,渔业,渔业,Fishery
589,工业,石油、化学、塑胶、塑料,橡胶和塑料制品业,"Petroleum, chemicals, plastics"
590,工业,医药制造业,医药制造业,Pharmaceutical industry
591,工业,电力、蒸汽、热水的生产和供应业,电力、热力生产和供应业,"The production and supply of electricity, steam and hot water"
592,综合,林业,林业,Forestry
593,工业,煤气生产和供应业,燃气生产和供应业,Gas production and supply industry
594,商业,批发和零售贸易,批发业,Wholesale and retail trade
595,工业,普通机械制造业,通用设备制造业,General machinery manufacturing
596,工业,饮料制造业,酒、饮料和精制茶制造业,Beverage manufacturing industry
597,工业,医药制造业,医药制造业,Pharmaceutical industry
598,公用事业,自来水的生产和供应业,水的生产和供应业,The production and supply of tap water
599,工业,石油、化学、塑胶、塑料,橡胶和塑料制品业,"Petroleum, chemicals, plastics"
600,工业,电力、蒸汽、热水的生产和供应业,电力、热力生产和供应业,"The production and supply of electricity, steam and hot water"
601,工业,电力、蒸汽、热水的生产和供应业,电力、热力生产和供应业,"The production and supply of electricity, steam and hot water"
602,工业,电力、蒸汽、热水的生产和供应业,电力、热力生产和供应业,"The production and supply of electricity, steam and hot water"
603,工业,有色金属矿采选业,有色金属矿采选业,Non-ferrous metals mining and dressing
605,公用事业,自来水的生产和供应业,水的生产和供应业,The production and supply of tap water
606,公用事业,计算机应用服务业,互联网和相关服务,Computer application services
607,公用事业,出版业,新闻和出版业,Publishing
608,房地产,房地产业,房地产业,Real estate
609,综合,综合类,综合,Comprehensive
610,公用事业,公共设施服务业,公共设施管理业,Public facilities service
611,工业,纺织业,纺织业,Textile industry
612,工业,有色金属冶炼及压延加工业,有色金属冶炼及压延加工业,Smelting and pressing of non-ferrous metals
613,商业,旅馆业,住宿业,Hotel industry
615,房地产,房地产业,房地产业,Real estate
616,房地产,房地产业,房地产业,Real estate
617,金融,证券、期货业,资本市场服务,Securities and futures industry
618,工业,化学原料及化学制品制造业,化学原料及化学制品制造业,Manufacture of raw chemical materials and chemical products
619,工业,石油、化学、塑胶、塑料,橡胶和塑料制品业,"Petroleum, chemicals, plastics"
620,房地产,房地产业,房地产业,Real estate
621,公用事业,计算机应用服务业,软件和信息技术服务业,Computer application services
622,工业,专用设备制造业,专用设备制造业,Special equipment manufacturing
623,工业,医药制造业,医药制造业,Pharmaceutical industry
625,工业,交通运输设备制造业,汽车制造业,Transportation equipment manufacturing industry
626,商业,批发和零售贸易,批发业,Wholesale and retail trade
627,金融,保险业,保险业,Insurance industry
628,房地产,土木工程建筑业,房屋建筑业,Civil engineering construction industry
629,工业,有色金属冶炼及压延加工业,有色金属冶炼及压延加工业,Smelting and pressing of non-ferrous metals
630,工业,有色金属冶炼及压延加工业,有色金属冶炼及压延加工业,Smelting and pressing of non-ferrous metals
631,房地产,房地产业,房地产业,Real estate
632,商业,批发和零售贸易,批发业,Wholesale and retail trade
633,工业,有色金属冶炼及压延加工业,有色金属冶炼及压延加工业,Smelting and pressing of non-ferrous metals
635,工业,化学原料及化学制品制造业,化学原料及化学制品制造业,Manufacture of raw chemical materials and chemical products
636,工业,信息技术业,计算机、通信和其他电子设备制造业,Information technology industry
637,工业,石油加工及炼焦业,石油加工、炼焦及核燃料加工业,Petroleum processing and coking industry
638,公用事业,计算机应用服务业,软件和信息技术服务业,Computer application services
639,工业,食品加工业,农副食品加工业,Food processing industry
650,工业,医药制造业,医药制造业,Pharmaceutical industry
651,工业,电器机械及器材制造业,电气机械及器材制造业,Electrical machinery and equipment manufacturing
652,商业,批发和零售贸易,批发业,Wholesale and retail trade
653,商业,零售业,零售业,Retail industry
655,工业,黑色金属矿采选业,黑色金属矿采选业,Ferrous metal mining industry
656,房地产,房地产业,房地产业,Real estate
657,工业,有色金属冶炼及压延加工业,有色金属冶炼及压延加工业,Smelting and pressing of non-ferrous metals
658,综合,综合类,综合,Comprehensive
659,工业,石油、化学、塑胶、塑料,橡胶和塑料制品业,"Petroleum, chemicals, plastics"
660,综合,综合类,综合,Comprehensive
661,工业,医药制造业,医药制造业,Pharmaceutical industry
662,公用事业,计算机应用服务业,软件和信息技术服务业,Computer application services
663,工业,家具制造业,家具制造业,Furniture manufacturing industry
665,公用事业,广播电影电视业,广播、电视、电影和影视录音制作业,"Radio, film and television"
666,金融,证券、期货业,资本市场服务,Securities and futures industry
667,房地产,房地产业,房地产业,Real estate
668,房地产,房地产业,房地产业,Real estate
669,工业,煤气生产和供应业,燃气生产和供应业,Gas production and supply industry
670,工业,信息技术业,计算机、通信和其他电子设备制造业,Information technology industry
671,房地产,房地产业,房地产业,Real estate
672,工业,非金属矿物制品业,非金属矿物制品业,Manufacture of non-metallic mineral products
673,公用事业,艺术业,文化艺术业,Art industry
675,工业,化学原料及化学制品制造业,化学原料及化学制品制造业,Manufacture of raw chemical materials and chemical products
676,公用事业,计算机应用服务业,互联网和相关服务,Computer application services
677,工业,化学纤维制造业,化学纤维制造业,Chemical fiber manufacturing industry
678,工业,普通机械制造业,通用设备制造业,General machinery manufacturing
679,商业,零售业,零售业,Retail industry
680,工业,专用设备制造业,专用设备制造业,Special equipment manufacturing
681,公用事业,艺术业,文化艺术业,Art industry
682,公用事业,计算机应用服务业,软件和信息技术服务业,Computer application services
683,工业,化学原料及化学制品制造业,化学原料及化学制品制造业,Manufacture of raw chemical materials and chemical products
685,公用事业,自来水的生产和供应业,水的生产和供应业,The production and supply of tap water
686,金融,证券、期货业,资本市场服务,Securities and futures industry
687,工业,信息技术业,计算机、通信和其他电子设备制造业,Information technology industry
688,工业,有色金属矿采选业,有色金属矿采选业,Non-ferrous metals mining and dressing
689,工业,有色金属冶炼及压延加工业,有色金属冶炼及压延加工业,Smelting and pressing of non-ferrous metals
690,工业,电力、蒸汽、热水的生产和供应业,电力、热力生产和供应业,"The production and supply of electricity, steam and hot water"
691,工业,化学原料及化学制品制造业,化学原料及化学制品制造业,Manufacture of raw chemical materials and chemical products
692,工业,电力、蒸汽、热水的生产和供应业,电力、热力生产和供应业,"The production and supply of electricity, steam and hot water"
693,工业,有色金属矿采选业,有色金属矿采选业,Non-ferrous metals mining and dressing
695,工业,印刷业,印刷和记录媒介复制业,Printing industry
697,工业,交通运输设备制造业,铁路、船舶、航空航天和其它运输设备制造业,Transportation equipment manufacturing industry
698,工业,石油加工及炼焦业,石油加工、炼焦及核燃料加工业,Petroleum processing and coking industry
699,工业,造纸及纸制品业,造纸及纸制品业,Paper making and paper products industry
700,工业,交通运输设备制造业,汽车制造业,Transportation equipment manufacturing industry
701,商业,批发和零售贸易,批发业,Wholesale and retail trade
702,工业,食品加工业,农副食品加工业,Food processing industry
703,工业,化学纤维制造业,化学纤维制造业,Chemical fiber manufacturing industry
705,商业,批发和零售贸易,批发业,Wholesale and retail trade
707,工业,化学原料及化学制品制造业,化学原料及化学制品制造业,Manufacture of raw chemical materials and chemical products
708,工业,黑色金属冶炼及压延加工业,黑色金属冶炼及压延加工业,Smelting and pressing of ferrous metals
709,工业,黑色金属冶炼及压延加工业,黑色金属冶炼及压延加工业,Smelting and pressing of ferrous metals
710,公用事业,专业、科研服务业,专业技术服务业,Professional and scientific research services
711,房地产,土木工程建筑业,土木工程建筑业,Civil engineering construction industry
712,金融,证券、期货业,资本市场服务,Securities and futures industry
713,综合,农、林、牧、渔服务业,农、林、牧、渔服务业,"Agriculture, forestry, animal husbandry, fishery services"
715,商业,零售业,零售业,Retail industry
716,工业,食品制造业,食品制造业,Food manufacturing industry
717,工业,黑色金属冶炼及压延加工业,黑色金属冶炼及压延加工业,Smelting and pressing of ferrous metals
718,房地产,房地产业,房地产业,Real estate
719,公用事业,出版业,新闻和出版业,Publishing
720,房地产,房地产业,房地产业,Real estate
721,商业,餐饮业,餐饮业,Catering industry
722,工业,电力、蒸汽、热水的生产和供应业,电力、热力生产和供应业,"The production and supply of electricity, steam and hot water"
723,工业,石油加工及炼焦业,石油加工、炼焦及核燃料加工业,Petroleum processing and coking industry
725,工业,信息技术业,计算机、通信和其他电子设备制造业,Information technology industry
726,工业,纺织业,纺织业,Textile industry
727,工业,信息技术业,计算机、通信和其他电子设备制造业,Information technology industry
728,金融,证券、期货业,资本市场服务,Securities and futures industry
729,工业,饮料制造业,酒、饮料和精制茶制造业,Beverage manufacturing industry
730,综合,装修装饰业,建筑装饰和其他建筑业,Buildings completing
731,工业,化学原料及化学制品制造业,化学原料及化学制品制造业,Manufacture of raw chemical materials and chemical products
732,房地产,房地产业,房地产业,Real estate
733,工业,信息技术业,计算机、通信和其他电子设备制造业,Information technology industry
735,综合,畜牧业,畜牧业,Animal husbandry
736,房地产,房地产业,房地产业,Real estate
737,工业,化学原料及化学制品制造业,化学原料及化学制品制造业,Manufacture of raw chemical materials and chemical products
738,工业,交通运输设备制造业,铁路、船舶、航空航天和其它运输设备制造业,Transportation equipment manufacturing industry
739,工业,医药制造业,医药制造业,Pharmaceutical industry
748,工业,信息技术业,计算机、通信和其他电子设备制造业,Information technology industry
750,金融,证券、期货业,资本市场服务,Securities and futures industry
751,工业,有色金属冶炼及压延加工业,有色金属冶炼及压延加工业,Smelting and pressing of non-ferrous metals
752,工业,饮料制造业,酒、饮料和精制茶制造业,Beverage manufacturing industry
753,商业,零售业,零售业,Retail industry
755,公用事业,公路运输业,道路运输业,Highway transport industry
756,工业,医药制造业,医药制造业,Pharmaceutical industry
757,商业,零售业,零售业,Retail industry
758,工业,有色金属矿采选业,有色金属矿采选业,Non-ferrous metals mining and dressing
759,商业,零售业,零售业,Retail industry
760,工业,交通运输设备制造业,汽车制造业,Transportation equipment manufacturing industry
761,工业,黑色金属冶炼及压延加工业,黑色金属冶炼及压延加工业,Smelting and pressing of ferrous metals
762,工业,黑色金属矿采选业,黑色金属矿采选业,Ferrous metal mining industry
763,工业,石油加工及炼焦业,石油加工、炼焦及核燃料加工业,Petroleum processing and coking industry
765,商业,零售业,零售业,Retail industry
766,工业,医药制造业,医药制造业,Pharmaceutical industry
767,工业,电力、蒸汽、热水的生产和供应业,电力、热力生产和供应业,"The production and supply of electricity, steam and hot water"
768,工业,交通运输设备制造业,铁路、船舶、航空航天和其它运输设备制造业,Transportation equipment manufacturing industry
769,综合,农、林、牧、渔服务业,农、林、牧、渔服务业,"Agriculture, forestry, animal husbandry, fishery services"
776,金融,证券、期货业,资本市场服务,Securities and futures industry
777,工业,普通机械制造业,通用设备制造业,General machinery manufacturing
778,工业,金属制品业,金属制品业,Metal product industry
779,公用事业,专业、科研服务业,专业技术服务业,Professional and scientific research services
780,工业,煤炭采选业,煤炭开采和洗选业,Mining and washing of coal industry
782,工业,化学纤维制造业,化学纤维制造业,Chemical fiber manufacturing industry
783,金融,证券、期货业,资本市场服务,Securities and futures industry
785,公用事业,其他社会服务业,商务服务业,Other social services
786,工业,非金属矿物制品业,非金属矿物制品业,Manufacture of non-metallic mineral products
787,公用事业,计算机应用服务业,互联网和相关服务,Computer application services
788,工业,医药制造业,医药制造业,Pharmaceutical industry
789,工业,非金属矿物制品业,非金属矿物制品业,Manufacture of non-metallic mineral products
790,工业,医药制造业,医药制造业,Pharmaceutical industry
791,工业,电力、蒸汽、热水的生产和供应业,电力、热力生产和供应业,"The production and supply of electricity, steam and hot water"
792,工业,化学原料及化学制品制造业,化学原料及化学制品制造业,Manufacture of raw chemical materials and chemical products
793,公用事业,出版业,新闻和出版业,Publishing
795,工业,非金属矿物制品业,非金属矿物制品业,Manufacture of non-metallic mineral products
796,公用事业,其他社会服务业,商务服务业,Other social services
797,房地产,房地产业,房地产业,Real estate
798,综合,渔业,渔业,Fishery
799,工业,饮料制造业,酒、饮料和精制茶制造业,Beverage manufacturing industry
800,工业,交通运输设备制造业,汽车制造业,Transportation equipment manufacturing industry
801,工业,信息技术业,计算机、通信和其他电子设备制造业,Information technology industry
802,公用事业,广播电影电视业,广播、电视、电影和影视录音制作业,"Radio, film and television"
803,公用事业,其他社会服务业,生态保护和环境治理业,Other social services
805,公用事业,计算机应用服务业,软件和信息技术服务业,Computer application services
806,工业,电器机械及器材制造业,电气机械及器材制造业,Electrical machinery and equipment manufacturing
807,工业,有色金属冶炼及压延加工业,有色金属冶炼及压延加工业,Smelting and pressing of non-ferrous metals
809,公用事业,公共设施服务业,公共设施管理业,Public facilities service
810,工业,信息技术业,计算机、通信和其他电子设备制造业,Information technology industry
811,工业,普通机械制造业,通用设备制造业,General machinery manufacturing
812,工业,印刷业,印刷和记录媒介复制业,Printing industry
813,工业,医药制造业,医药制造业,Pharmaceutical industry
815,工业,造纸及纸制品业,造纸及纸制品业,Paper making and paper products industry
816,工业,普通机械制造业,通用设备制造业,General machinery manufacturing
817,工业,石油和天然气开采业,石油和天然气开采业,Extraction of petroleum and natural gas
818,工业,化学原料及化学制品制造业,化学原料及化学制品制造业,Manufacture of raw chemical materials and chemical products
819,工业,石油加工及炼焦业,石油加工、炼焦及核燃料加工业,Petroleum processing and coking industry
820,工业,有色金属矿采选业,废弃资源综合利用业,Non-ferrous metals mining and dressing
821,工业,专用设备制造业,专用设备制造业,Special equipment manufacturing
822,工业,化学原料及化学制品制造业,化学原料及化学制品制造业,Manufacture of raw chemical materials and chemical products
823,工业,信息技术业,计算机、通信和其他电子设备制造业,Information technology industry
825,工业,黑色金属冶炼及压延加工业,黑色金属冶炼及压延加工业,Smelting and pressing of ferrous metals
826,公用事业,其他社会服务业,生态保护和环境治理业,Other social services
827,工业,非金属矿物制品业,非金属矿物制品业,Manufacture of non-metallic mineral products
828,公用事业,公路运输业,道路运输业,Highway transport industry
829,商业,批发和零售贸易,批发业,Wholesale and retail trade
830,工业,化学原料及化学制品制造业,化学原料及化学制品制造业,Manufacture of raw chemical materials and chemical products
831,工业,有色金属冶炼及压延加工业,有色金属冶炼及压延加工业,Smelting and pressing of non-ferrous metals
832,工业,化学纤维制造业,化学纤维制造业,Chemical fiber manufacturing industry
833,综合,综合类,综合,Comprehensive
835,公用事业,计算机应用服务业,互联网和相关服务,Computer application services
836,工业,电器机械及器材制造业,电气机械及器材制造业,Electrical machinery and equipment manufacturing
837,工业,普通机械制造业,通用设备制造业,General machinery manufacturing
838,房地产,房地产业,房地产业,Real estate
839,公用事业,通信服务业,电信、广播电视和卫星传输服务,Communication service industry
848,工业,饮料制造业,酒、饮料和精制茶制造业,Beverage manufacturing industry
850,工业,纺织业,纺织业,Textile industry
851,商业,零售业,零售业,Retail industry
852,工业,专用设备制造业,专用设备制造业,Special equipment manufacturing
856,工业,专用设备制造业,专用设备制造业,Special equipment manufacturing
858,工业,饮料制造业,酒、饮料和精制茶制造业,Beverage manufacturing industry
859,工业,石油、化学、塑胶、塑料,橡胶和塑料制品业,"Petroleum, chemicals, plastics"
860,工业,饮料制造业,酒、饮料和精制茶制造业,Beverage manufacturing industry
861,公用事业,其他社会服务业,商务服务业,Other social services
862,工业,电力、蒸汽、热水的生产和供应业,电力、热力生产和供应业,"The production and supply of electricity, steam and hot water"
863,房地产,房地产业,房地产业,Real estate
866,工业,石油加工及炼焦业,石油加工、炼焦及核燃料加工业,Petroleum processing and coking industry
868,工业,交通运输设备制造业,汽车制造业,Transportation equipment manufacturing industry
869,工业,饮料制造业,酒、饮料和精制茶制造业,Beverage manufacturing industry
875,工业,电力、蒸汽、热水的生产和供应业,电力、热力生产和供应业,"The production and supply of electricity, steam and hot water"
